text,target
the rock is destined be the ##st centurys new conan that hes going make splash even greater than arnold schwarzenegger jean claud van damme or steven segal,1.0
the gorgeously elaborate continuation the lord the rings trilogy is so huge that column words cannot adequately describe co writer director peter jacksons expanded vision j r r tolkiens middle earth,1.0
effective but too tepid biopic,1.0
if you sometimes like go the movies have fun wasabi is good place start,1.0
emerges as something rare an issue movie thats so honest keenly observed that it does not feel like one,1.0
the film provides some great insight into the neurotic mindset all comics even those who have reached the absolute top the game,1.0
offers that rare combination entertainment education,1.0
perhaps no picture ever made has more literally showed that the road hell is paved with good intentions,1.0
steers turns in snappy screenplay that curls at the edges its so clever you want hate it but he somehow pulls it off,1.0
take care my cat offers refreshingly different slice asian cinema,1.0
this is film well worth seeing talking singing heads all,1.0
what really surprises about wisegirls is its low key quality genuine tenderness,1.0
wendigo is why we go the cinema be fed through the eye the heart the mind,1.0
one the greatest family oriented fantasy adventure movies ever,1.0
ultimately it ponders the reasons we need stories so much,1.0
an utterly compelling who wrote it in which the reputation the most famous author who ever lived comes into question,1.0
illuminating if overly talky documentary,1.0
masterpiece four years in the making,1.0
the movies ripe enrapturing beauty will tempt those willing probe its inscrutable mysteries,1.0
offers breath the fresh air true sophistication,1.0
thoughtful provocative insistently humanizing film,1.0
with cast that includes some the top actors working in independent film lovely & amazing involves us because it is so incisive so bleakly amusing about how we go about our lives,1.0
disturbing frighteningly evocative assembly imagery hypnotic music composed by philip glass,1.0
not for everyone but for those with whom it will connect its nice departure from standard moviegoing fare,1.0
scores few points for doing what it does with dedicated good hearted professionalism,1.0
occasionally melodramatic its also extremely effective,1.0
spiderman rocks,1.0
an idealistic love story that brings out the latent ## year old romantic in everyone,1.0
at about ## minutes treasure planet mam notains brisk pace as it races through the familiar story however it lacks grandeur that epic quality often associated with stevensons tale as well as with earlier disney efforts,1.0
it helps that lil bow wow tones down his pint sized gangsta act play someone who resembles real kid,1.0
guaranteed move anyone who ever shook rattled or rolled,1.0
masterful film from master filmmaker unique in its deceptive grimness compelling in its fatalist worldview,1.0
light cute forgettable,1.0
if theres way effectively teach kids about the dangers drugs i think its in projects like the unfortunately r rated paid,1.0
while it would be easy give crush the new title two weddings funeral its far more thoughtful film than any slice hugh grant whimsy,1.0
though everything might be literate smart it never took off always seemed static,1.0
cantet perfectly captures the hotel lobbies two lane highways roadside cafes that permeate vincents days,1.0
ms fulford wierzbicki is almost spooky in her sulky calculating lolita turn,1.0
though it is by no means his best work laissez passer is distinguished distinctive effort by bona fide master fascinating film replete with rewards be had by all willing make the effort reap them,1.0
like most bond outings in recent years some the stunts are so outlandish that they border on being cartoonlike heavy reliance on cgi technology is beginning creep into the series,1.0
newton draws our attention like magnet acts circles around her better known co star mark wahlberg,1.0
the story loses its bite in last minute happy ending thats even less plausible than the rest the picture much the way though this is refreshingly novel ride,1.0
