text,target
smart alert thirteen conversations about one thing is small gem,1.0
color musical bounce warm seas lapping on island shores just enough science send you home thinking,1.0
it is not mass market entertainment but an uncompromising attempt by one artist think about another,1.0
light hearted french film about the spiritual quest fashion model seeking peace mind while in love affair with veterinarian who is non practicing jew,1.0
my wife is an actress has its moments in looking at the comic effects jealousy in the end though it is only mildly amusing when it could have been so much more,1.0
works both as an engaging drama an incisive look at the difficulties facing native americans,1.0
even hardened voyeur would require the patience job get through this interminable shapeless documentary about the swinging subculture,1.0
when perry fists bull at the moore farm its only matter time before he gets the upper hand in matters the heart,1.0
the characters are paper thin their personalities undergo radical changes when it suits the script,1.0
the script is tired one with few moments joy rising above the stale material,1.0
the bland outweighs the nifty cletis tout never becomes the clever crime comedy it thinks it is,1.0
directed by david twohy with the same great eye for eerie understatement that he brought pitch black,1.0
its very tasteful rock roll movie you could put it on coffee table anywhere,1.0
provides the kind laugh therapy i need from movie comedies offbeat humor amusing characters happy ending after seeing analyze that i feel better already,1.0
worth look by those on both sides the issues if only for the perspective it offers one the public rarely sees,1.0
watching the film is like reading times portrait grief that keeps shifting focus the journalist who wrote it,1.0
despite these annoyances the capable clayburgh tambor really do great job anchoring the characters in the emotional realities middle age,1.0
its good thing that woolly mammoths are extinct because this movie will have every kid in the schoolyard wishing for their very own,1.0
preposterous tedious sonny is spiked with unintentional laughter that unfortunately occurs too infrequently make the film even guilty pleasure,1.0
4ever has the same sledgehammer appeal as pokemon videos but it breathes more on the big screen induces headaches more slowly,1.0
si el siglo xxi necesita de héroes el hombre araña parece haber llegado para quedarse,1.0
its hard tell with all the crashing banging where the salesmanship ends the movie begins,1.0
it desperately wants be wacky screwball comedy but the most screwy thing here is how so many talented people were convinced waste their time,1.0
writer director walter hill is in his hypermasculine element here once again able inject some real vitality even art into pulpy concept that in many other hands would be completely forgettable,1.0
hill looks be going through the motions beginning with the pale script,1.0
extremely well cast especially in the large number supporting roles,1.0
chilling tale one the great crimes ##th century france the murder two rich women by their servants in ####,1.0
dark quirky road movie that constantly defies expectation,1.0
impostor does not do much with its template despite remarkably strong cast,1.0
though it lacks the utter authority genre gem theres certain robustness this engaging mix love bloodletting,1.0
if you can keep your eyes open amid all the blood gore youll see del toro has brought unexpected gravity blade ii,1.0
theres undeniable enjoyment be had from films crammed with movie references but the fun wears thin then out when theres nothing else happening,1.0
work that lacks both purpose strong pulse,1.0
it helps that lil bow wow tones down his pint sized gangsta act play someone who resembles real kid,1.0
mimetic approximation better films like contempt 8 1 2,1.0
eastwood is an icon moviemaking one the best actors directors producers around responsible for some excellent work but even hero can stumble sometimes,1.0
nair does not use monsoon wedding lament the loss culture instead she sees it as chance revitalize what is always has been remarkable about clung traditions,1.0
stuffed the brim with ideas american instigator michael moores film is rambling examination american gun culture that uses his usual modus operandi crucifixion through juxtaposition,1.0
joke at once flaky resonant lightweight bizarrely original,1.0
fontaines direction especially her agreeably startling use close ups her grace with moving camera creates sheerly cinematic appeal,1.0
starts slowly but adrien brody in the title role helps make the films conclusion powerful satisfying,1.0
refreshing change from the usual whoopee cushion effort aimed at the youth market,1.0
you really have salute writer director haneke he adapted elfriede jelineks novel for making film that is not nearly as graphic but much more powerful brutally shocking difficult watch,1.0
